carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Other,Other,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1999,31900,kilometer,E 320,E 320 Elégance 4-Matic,,car,,1,l/100km
Coupé,Other,Oldtimer,CHF,,Zuzwil,CH,Lamborghini,1973,48000,kilometer,,Espada GT 400 Serie 3,,car,,4,
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Ferrari,2004,42600,kilometer,F360,F360 Modena Berlinetta,,car,,2,l/100km
Convertible / Roadster,Silver,Occasion,CHF,,Porrentruy,CH,Alfa Romeo,2011,23900,kilometer,8C,null,,car,,4,
Other,Silver,Occasion,CHF,,Zuzwil,CH,BMW,1974,97100,kilometer,2002,Turbo,,car,,3,
Convertible / Roadster,Silver,Occasion,CHF,,Zuzwil,CH,Datsun,1969,23300,kilometer,,SPORTS 2000,,car,,7,
Other,Silver,Occasion,CHF,,Zuzwil,CH,Audi,1997,66300,kilometer,A8,A8 4.2 quattro,,car,,1,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Lamborghini,2006,20000,kilometer,Gallardo,Gallardo 5.0 V10 Coupé SE,,car,,1,l/100km
Convertible / Roadster,Silver,Occasion,CHF,,Sursee,CH,Mercedes-Benz,1971,500,kilometer,280,3.5 V8 Cabrio,,car,,2,
Convertible / Roadster,Silver,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1996,156800,kilometer,Sl 320,SL 320,,car,,7,l/100km
SUV,Silver,Occasion,CHF,,Zuzwil,CH,Porsche,2004,91600,kilometer,Cayenne,Cayenne Turbo,,car,,4,l/100km
Other,Silver,Occasion,CHF,,Zuzwil,CH,BMW,2004,27600,kilometer,745,745i,,car,,12,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Porsche,1992,123000,kilometer,911,911 Carrera 2 RS,,car,,1,
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Porsche,1999,80400,kilometer,911,911 Carrera 4 Cabrio TECHART,,car,,5,l/100km
Other,Silver,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2002,53800,kilometer,E 55 Amg,E 55 AMG Avantgarde,,car,,11,l/100km
Other,Silver,Occasion,CHF,,Zuzwil,CH,Audi,2002,47400,kilometer,Rs6,RS6 Avant quattro,,car,,12,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Lamborghini,1993,14990,kilometer,Diablo,Diablo 5.7 VT,,car,,8,
Convertible / Roadster,Silver,Occasion,CHF,,Sursee,CH,Mercedes-Benz,1960,1000,kilometer,,300SL Roadster,,car,,3,
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Alfa Romeo,2008,37000,kilometer,8C,Coupé,,car,,3,
SUV,Silver,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2002,87800,kilometer,Ml 400,ML 400 CDI,,car,,11,l/100km
Other,Silver,Occasion,CHF,,Zuzwil,CH,VW,2007,87000,kilometer,Golf,Golf 2.0 TFSI GTI,,car,,2,l/100km
Other,Silver,Occasion,CHF,,Zuzwil,CH,VW,2009,33500,kilometer,Jetta,Jetta 2.0 TDI Comfort,,car,,3,l/100km
Other,Silver,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1989,198000,kilometer,190,190 E 2.5-16 ABS,,car,,1,
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Wiesmann,2008,34600,kilometer,Coupe,GT MF5,,car,,7,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Porsche,2009,Automatisiertes Schaltgetriebe,kilometer,911,911 Turbo Cabrio,,car,,12,l/100km
Other,Other,Vorführmodell,CHF,,Benzin,CH,BMW,2011,Schaltgetriebe manuell,kilometer,Z4,Z4 M Coupé,,car,,8,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Renault,1969,9999,kilometer,Alpine A110,1300S,,car,,9,
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Maserati,2002,62300,kilometer,Coupé Gt,Coupé GT,,car,,6,l/100km
Coupé,Silver,Oldtimer,CHF,,Zuzwil,CH,Renault,1976,42940,kilometer,Alpine,1600 VF,,car,,8,
Other,Silver,Occasion,CHF,,Zuzwil,CH,Audi,2002,35100,kilometer,A8,A8 4.2 quattro,,car,,8,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Chevrolet,2010,24000,kilometer,Corvette,Corvette Z06,,car,,3,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Toyota,1986,101400,kilometer,Corolla,Corolla 1600 GTi TC16,,car,,12,
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2000,79500,kilometer,Clk 55 Amg,CLK 55 AMG Avantgarde,,car,,6,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Audi,2014,Automatisiertes Schaltgetriebe,kilometer,S7,S7 Sportback 4.0 TFSI V8 quattro,,car,,3,l/100km
Other,Silver,Occasion,CHF,,Basel,CH,Bentley,2006,15600,kilometer,Arnage,Arnage T,,car,,3,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Audi,2006,108200,kilometer,Rs4,RS4 4.2 V8 quattro,,car,,5,l/100km
Other,Silver,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2002,52400,kilometer,E 55 Amg,E 55 AMG Avantgarde,,car,,10,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Porsche,2001,60800,kilometer,911,911 Turbo,,car,,5,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,BMW,2004,79100,kilometer,645,645i,,car,,1,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Porsche,2000,77000,kilometer,911,911 GT3,,car,,1,l/100km
Other,Silver,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1996,87800,kilometer,E 420,E 420 Avantgarde,,car,,11,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Porsche,2002,68100,kilometer,911,911 Carrera 4 S,,car,,3,l/100km
Convertible / Roadster,Silver,Occasion,CHF,,Zuzwil,CH,Aston Martin,2013,17000,kilometer,Db9,DB9 Volante,,car,,5,l/100km
Other,Silver,Occasion,CHF,,Zuzwil,CH,Triumph,1977,12800,kilometer,Dolomite,Sprint,,car,,7,
Convertible / Roadster,Silver,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1996,74400,kilometer,Sl 500,SL 500,,car,,6,l/100km
Convertible / Roadster,Silver,Occasion,CHF,,Zuzwil,CH,BMW,2007,32000,kilometer,M6,M6,,car,,2,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Audi,2001,57500,kilometer,Rs4,RS4 Avant quattro,,car,,7,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Porsche,2001,49900,kilometer,911,911 GT2,,car,,11,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Renault,1983,69000,kilometer,Alpine,Alpine A310 V6,,car,,3,
Coupé,Silver,Oldtimer,CHF,,Zuzwil,CH,Toyota,1981,79300,kilometer,Celica,1600 GT DOHC,,car,,10,
Other,Silver,Occasion,CHF,,Zuzwil,CH,VW,2002,31300,kilometer,Phaeton,Phaeton 6.0 W12 4Motion,,car,,11,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Ferrari,2008,19999,kilometer,F430,F430 Scuderia,,car,,3,l/100km
Other,Silver,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1992,152000,kilometer,190,190 E 2.5-16 ABS,,car,,4,
Other,Silver,Occasion,CHF,,Zuzwil,CH,BMW,1997,69600,kilometer,750,750i,,car,,3,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Porsche,2005,39400,kilometer,911,911 Carrera S,,car,,8,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Ferrari,1992,16500,kilometer,Mondial,Mondial 3.4 T,,car,,5,
SUV,Silver,Occasion,CHF,,Zuzwil,CH,BMW,2002,60100,kilometer,X5,X5 4.4i,,car,,3,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Ferrari,2013,12000,kilometer,F12,F12 Berlinetta,,car,,1,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Ford,1978,96600,kilometer,Escort,RS 2000,,car,,3,
Convertible / Roadster,Silver,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1999,83600,kilometer,Sl 320,SL 320,,car,,8,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Porsche,2006,101200,kilometer,911,911 Carrera 4S,,car,,2,l/100km
SUV,Silver,Occasion,CHF,,Zuzwil,CH,Toyota,1982,5000,kilometer,Land Cruiser,FJ 40,,car,,2,
Convertible / Roadster,Silver,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1996,27600,kilometer,Sl 500,SL 500,,car,,10,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Renault,1970,57700,kilometer,Alpine A110,1600S,,car,,3,
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Datsun,1981,50300,kilometer,280,ZX,,car,,3,
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Porsche,2001,53400,kilometer,911,911 GT2,,car,,9,l/100km
Coupé,Silver,Occasion,CHF,,Porrentruy,CH,Lamborghini,2003,9000,kilometer,Murciélago,Murciélago 6.2 Coupé,,car,,2,l/100km
SUV,Silver,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,126300,kilometer,Ml 350,ML 350 Inspiration,,car,,10,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Audi,2003,26300,kilometer,A8,A8 4.2 quattro,,car,,11,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Porsche,2003,94500,kilometer,911,911 Turbo,,car,,3,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,BMW,2003,35000,kilometer,M3,M3 CSL,,car,,11,l/100km
Other,Silver,Occasion,CHF,,Zuzwil,CH,Mitsubishi,1999,120800,kilometer,Lancer,EVO V,,car,,1,
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2000,75300,kilometer,,6.7 BRABUS,,car,,2,
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Porsche,2000,38200,kilometer,911,911 Carrera 4,,car,,11,l/100km
Convertible / Roadster,Silver,Occasion,CHF,,Zuzwil,CH,Audi,2005,49900,kilometer,Tt,TT Roadster 1.8 T,,car,,3,l/100km
Other,Silver,Occasion,CHF,,Zuzwil,CH,Audi,1999,101800,kilometer,A8,A8 4.2 quattro,,car,,10,l/100km
Coupé,Silver,Occasion,CHF,,Zuzwil,CH,Renault,1973,75700,kilometer,Alpine A110,1300,,car,,0,
Other,Silver,Occasion,CHF,,Zuzwil,CH,Maserati,2005,33500,kilometer,Quattroporte,Quattroporte 4.2,,car,,10,l/100km
Convertible / Roadster,Silver,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1995,96600,kilometer,Sl 500,SL 500,,car,,1,
Other,Blue,Occasion,CHF,,Zuzwil,CH,Bentley,2000,19300,kilometer,Arnage,Arnage Red Label,,car,,5,l/100km
Coupé,Silver,Occasion,CHF,,St. Gallen,CH,Bentley,2015,5000,kilometer,Continental,Continental GT Speed 6.0,,car,,9,l/100km
Coupé,Purple,Occasion,CHF,,Zuzwil,CH,Jaguar,1956,5300,kilometer,,D-Type XKD525,,car,,7,
Coupé,Purple,Occasion,CHF,,Zuzwil,CH,Chevrolet,1967,21300,kilometer,Corvette,C2,,car,,6,
Other,Purple,Occasion,CHF,,Zuzwil,CH,Renault,1982,77900,kilometer,R5,R5 1400 Alpine Turbo,,car,,3,
