ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,ConsumptionRatingText,FirstRegYear,Doors,InteriorColorText,Co2EmissionText,FirstRegMonth,Seats,ConsumptionTotalText,Ccm,ConditionTypeText,Properties,BodyColorText,DriveTypeText,TransmissionTypeText,Km,Hp,BodyTypeText,FuelTypeText,City
1.0,MERCEDES-BENZ,E 320,E 320 Elégance 4-Matic,E 320 Elégance 4-Matic,MERCEDES-BENZ E 320 Elégance 4-Matic,null,1999,4,grau,275 g/km,1,5,11.5 l/100km,3199,Occasion,"""Ab MFK""",anthrazit,Allrad,Automat,31900,224,Limousine,Benzin,Zuzwil
10.0,LAMBORGHINI,,Espada GT 400 Serie 3,Espada GT 400 Serie 3,LAMBORGHINI Espada GT 400 Serie 3,null,1973,2,schwarz,null,4,4,null,3929,Oldtimer,"""Ab MFK""",anthrazit mét.,Hinterradantrieb,Schaltgetriebe,48000,350,Coupé,Benzin,Zuzwil
100.0,FERRARI,F360,F360 Modena Berlinetta,F360 Modena Berlinetta,FERRARI F360 Modena Berlinetta,G,2004,2,beige,440 g/km,2,2,19.3 l/100km,3586,Occasion,"""Ab MFK""",blau mét.,Hinterradantrieb,Automatisiertes Schaltgetriebe,42600,400,Coupé,Benzin,Zuzwil
1000.0,ALFA ROMEO,8C,8C,null,ALFA ROMEO 8C,null,2011,2,schwarz,null,4,0,null,4691,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automatik-Getriebe,23900,450,Cabriolet,Benzin,Porrentruy
1001.0,BMW,2002,2002 Turbo,Turbo,BMW 2002 Turbo,null,1974,2,schwarz,null,3,4,null,1977,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe,97100,170,Limousine,Benzin,Zuzwil
1002.0,DATSUN,,SPORTS 2000,SPORTS 2000,DATSUN SPORTS 2000,null,1969,2,schwarz,null,7,2,null,2000,Occasion,"""Ab MFK""",silber mét.,null,null,23300,143,Cabriolet,Benzin,Zuzwil
1003.0,AUDI,A8,A8 4.2 quattro,A8 4.2 quattro,AUDI A8 4.2 quattro,null,1997,4,schwarz,322 g/km,1,5,13.5 l/100km,4172,Occasion,"""Ab MFK""",silber mét.,Allrad,Automat,66300,300,Limousine,Benzin,Zuzwil
1004.0,LAMBORGHINI,GALLARDO,Gallardo 5.0 V10 Coupé SE,Gallardo 5.0 V10 Coupé SE,LAMBORGHINI Gallardo 5.0 V10 Coupé SE,G,2006,2,schwarz,400 g/km,1,2,17.0 l/100km,4961,Occasion,"""Ab MFK""",silber mét.,Allrad,Automatisiertes Schaltgetriebe,20000,520,Coupé,Benzin,Zuzwil
1005.0,MERCEDES-BENZ,280,280 3.5 V8 Cabrio,3.5 V8 Cabrio,MERCEDES-BENZ 280 3.5 V8 Cabrio,null,1971,2,beige,null,2,4,null,3499,Occasion,null,silber mét.,null,null,500,200,Cabriolet,Benzin,Sursee
1006.0,MERCEDES-BENZ,SL 320,SL 320,SL 320,MERCEDES-BENZ SL 320,null,1996,2,schwarz,297 g/km,7,2,12.5 l/100km,3199,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat,156800,231,Cabriolet,Benzin,Zuzwil
1007.0,PORSCHE,CAYENNE,Cayenne Turbo,Cayenne Turbo,PORSCHE Cayenne Turbo,G,2004,5,schwarz,378 g/km,4,5,15.7 l/100km,4511,Occasion,"""Ab MFK""",silber mét.,Allrad,Automat,91600,450,SUV / Geländewagen,Benzin,Zuzwil
